token,token_id,count,avg_logprob,avg_entropy
-z,9141,70,-0.23917738710130965,0.2552448834691729
 AMC,74309,70,-2.2710570199148994,1.0712132045200893
",A",15031,70,-0.3400451796395438,0.13701812433344976
 competitions,42582,70,-1.7505543300083706,1.0125863211495536
 rewritten,58524,70,-1.2464215959821427,1.0161969866071427
Need,23657,70,-1.7283546447753906,1.1245492117745535
_\,56014,70,-0.0005832995687212263,0.0038576364517211915
"{}"".",42025,70,-0.47121058872767857,0.6721261160714286
 contradict,42461,70,-2.869911411830357,1.1134905133928572
text,1318,70,-0.16062355211802892,0.11688790762878593
 Depending,39630,70,-2.9332589285714286,1.5752650669642858
"  

",18611,70,-0.7287956237792969,0.6701433454241071
 switch,3398,70,-1.100550433567592,1.026745387486049
 truth,8046,70,-1.1529076797621591,0.6329513708272966
 opening,8568,70,-1.3975725718906948,0.6995522635323661
�,241,70,-0.047589399133409774,0.013043073347632474
=N,51995,70,-1.2349569576127188,0.5218357578718237
elin,32730,70,-0.00040615967341831754,0.0036000890391213554
 fish,7640,70,-0.09219805002212525,0.13005023888711417
 bead,74507,70,-0.17752463136400495,0.2871603557041713
iy,16220,70,-3.6764144897460935e-05,0.0005071045298661505
 bin,9544,69,-1.1677522711131885,0.7918726464976436
Six,41460,69,-0.40329155541848444,0.3198350547016531
",r",15883,69,-0.248008838598279,0.12523991128672723
equiv,57317,69,-0.0071987933006839476,0.02710845027341629
 besides,27758,69,-4.6589956974637685,1.1699466428894927
 connection,3633,69,-1.6918427840523098,1.034997027853261
by,1694,69,-0.7807129293248274,0.7547162926715353
 seated,46313,69,-1.1996476252873738,0.8216181492459946
Rec,3820,69,-2.9011053555253623,1.262115036231884
say,36790,69,-0.7783864339192709,0.8803764011548914
 transitions,33592,69,-2.238345978916555,1.3641017969103828
-G,12010,69,-0.5071896556494893,0.255301012509111
 OE,55530,69,-1.0823502229607624,0.7552242598671844
 instances,13121,69,-1.3099578083425327,0.9095065351845562
verting,49417,69,-0.1618822104689004,0.05428061182306999
 stabil,26184,69,-1.0037173810212507,0.8221946661023126
 dt,7594,69,-0.11646795791128407,0.0728904959084331
(F,7832,69,-0.8998221400855244,0.3635979389798814
(X,7644,69,-0.2826894418053005,0.07765711536226065
hed,41009,69,-0.003551001134126083,0.015726983769918264
White,14075,69,-0.0933772239132204,0.10243669109068056
Profit,67297,69,-0.6417551299800044,0.4839843701625216
 arrow,17921,69,-0.3689745975577313,0.2773997576340385
ita,6255,69,-1.5718349512072578e-05,0.00020560215942669606
cul,3314,68,-0.12020549178123474,0.09392090355429579
 Number,5624,68,-0.9158809938851524,0.8196579739451408
ax,706,68,-0.2927323036334094,0.32747766901465025
ative,1388,68,-0.007232839570325964,0.014628664278836153
 halfway,41336,68,-2.217309839585248,1.1282384535845589
 whenever,15356,68,-3.6092888327205883,1.4377728630514706
columns,16369,68,-0.9838258641607621,0.599446713924408
 paper,5567,68,-0.726671592277639,0.4336672424174407
 reasonable,13276,68,-1.8845789292279411,1.51123046875
 diamond,22205,68,-2.8383942071129296,0.9696004951701445
 isolated,24203,68,-1.2059557648266064,0.7920225928811466
 window,3241,68,-0.35922490498598886,0.3844772507162655
 buys,49531,68,-0.586587609613643,0.4074999793049167
 receive,5258,68,-0.6879678298445309,0.5973794224726803
 negligible,81702,68,-1.1213553933536304,0.9154986213235294
 Bring,39124,68,-0.1578856373534483,0.20397497976527496
 telesc,77413,68,-3.049489413990694,1.1296754724839155
 ears,24230,68,-0.6939147851046394,0.5337504218606388
ops,3721,68,-6.742337170769187e-06,7.938262184753137e-05
.d,950,68,-0.22671730904018178,0.19880115284639246
 immediately,7069,67,-2.3015656186573543,0.8418555473213765
 brackets,38929,67,-0.2922028356523656,0.32443214530375464
 replacing,24891,67,-2.1991750233208953,1.5127973414179106
 Sasha,82178,67,-1.2310718991863194,0.9150511996069951
 potentially,13581,67,-2.6395172574626864,1.3168234753964552
 lemma,18810,67,-0.10210458556217934,0.22483666263409516
 balanced,23831,67,-1.3899274797581915,1.1116314788362873
 Interesting,70670,67,-3.560401119402985,1.5067047574626866
*p,31168,67,-0.4827621677028599,0.28270697441480275
 computation,34447,67,-2.8729156949626864,1.435313666044776
 law,2329,67,-0.8408748569773205,0.7717408137534981
 copies,10993,67,-0.9821369114206798,0.6881518008104012
ting,1280,67,-0.09777874199312124,0.1383145971108817
generate,19366,67,-0.0009878678108329205,0.006525423766961738
 caused,8881,67,-1.4474939054517604,0.9035490680096755
 Hamilton,23176,67,-0.7663901812994658,0.7032376189730061
izer,3135,67,-0.00012391360838021805,0.0012216265521832366
 tower,21271,67,-0.6158550888744753,0.6659423408112419
 Che,8436,67,-0.9264697174527752,0.6978714217000933
{n,91362,67,-0.13853062622582735,0.14953946942678972
=L,68851,67,-0.17688773995015158,0.14925092175158103
/z,31082,67,-0.03238970130237181,0.07464025180731247
-clock,54288,67,-0.003427530402567849,0.020149700677216942
 winner,13632,67,-0.5994572354786432,0.3170121340220099
--,313,67,-0.1717140461081889,0.1444966865759065
 Bj,68741,67,-0.21583435072827695,0.18152996268012186
orn,1512,67,-1.9767391147898204e-06,2.5709875539612413e-05
 roads,19241,67,-0.6873521288829063,0.5017579776137623
 rear,14639,67,-0.4703287224271404,0.15209058711110657
 Inn,16952,67,-1.138023687832391,0.5260225551675505
 summed,65666,66,-1.7841667406486743,1.1415793678977273
 chose,14554,66,-0.8748035792148474,0.6813135156125734
height,2563,66,-0.4140113845016017,0.412125231528824
 roll,6502,66,-0.6389757268356554,0.6080958265246768
 scenarios,25283,66,-1.7136156486742424,1.1552142518939394
 stick,9214,66,-2.544677257537842,1.3369424415357185
 coin,16254,66,-1.2085542100848574,0.6908910139040514
square,37476,66,-0.5589561498526371,0.3189200018391465
 visited,11994,66,-0.4200443137775768,0.395272515036843
Setting,15400,66,-1.9104952956690933,1.1915976784446023
�,108,66,-0.00010048620628588128,0.0007855764618425658
istant,11202,66,-0.014832305185722582,0.010517457669431513
 safer,29449,66,-1.6926509972774622,1.3796756628787878
